AmpTag	Investigator	SampleID	PrimerType
Echo193	Amy Zanne	A6tZ	16S
Echo193	Amy Zanne	A6tZ	ITS
Echo193	Amy Zanne	A6tZ	LSU
Echo194	Amy Zanne	A6bZ	16S
Echo194	Amy Zanne	A6bZ	ITS
Echo194	Amy Zanne	A6bZ	LSU
Echo195	Amy Zanne	B6tZ	16S
Echo195	Amy Zanne	B6tZ	ITS
Echo195	Amy Zanne	B6tZ	LSU
Echo196	Amy Zanne	B6bZ	16S
Echo196	Amy Zanne	B6bZ	ITS
Echo196	Amy Zanne	B6bZ	LSU
Echo197	Amy Zanne	C6tZ	16S
Echo197	Amy Zanne	C6tZ	ITS
Echo197	Amy Zanne	C6tZ	LSU
Echo198	Amy Zanne	C6bZ	16S
Echo198	Amy Zanne	C6bZ	ITS
Echo198	Amy Zanne	C6bZ	LSU
Echo199	Amy Zanne	D6tZ	16S
Echo199	Amy Zanne	D6tZ	ITS
Echo199	Amy Zanne	D6tZ	LSU
Echo200	Amy Zanne	D6bZ	16S
Echo200	Amy Zanne	D6bZ	ITS
Echo200	Amy Zanne	D6bZ	LSU
Echo201	Amy Zanne	E6tZ	16S
Echo201	Amy Zanne	E6tZ	ITS
Echo201	Amy Zanne	E6tZ	LSU
